,Certificates,Associate,Bachelorâ€™s,to Include
Agriculture,,,,1
Natural resources and conservation,,,1.6%,3
Architecture,,,0.4%,4
"Area, ethnic, and gender studies",,,3.8%,5
Communication/journalism,,,1.1%,9
Communication technologies,,,,10
Computer and information sciences,,,13.6%,11
Personal and culinary services,,,,12
Education,,,1.7%,13
Engineering,,,4.8%,14
Engineering technologies,,,,15
"Foreign languages, literatures, and linguistics",,,2.1%,16
Family and consumer sciences,,,,19
Law/legal studies,,,,22
English,,,4.5%,23
Liberal arts/general studies,,,,24
Library science,,,,25
Biological/life sciences,,,9.2%,26
Mathematics and statistics,,,9.3%,27
Military science and military technologies,,,,28 & 29
Interdisciplinary studies,,,5.6%,30
Parks and recreation,,,,31
Philosophy and religious studies,,,2.0%,38
Theology and religious vocations,,,,39
Physical sciences,,,2.6%,40
Science technologies,,,,41
Psychology,,,2.6%,42
"Homeland Security, law enforcement, firefighting, and protective services",,,,43
Public administration and social services,,,1.4%,44
Social sciences,,,20.3%,45
Construction trades,,,,46
Mechanic and repair technologies,,,,47
Precision production,,,,48
Transportation and materials moving,,,,49
Visual and performing arts,,,3.8%,50
Health professions and related programs,,,3.4%,51
Business/marketing,,,2.3%,52
History,,,3.8%,54
Other,,,,
