,Category,Diploma/Certificates,Associate,Bachelorâ€™s,
,,,,,to Include
Agriculture,,,,10.42%,01
Natural resources and conservation,,,,2.50%,03
Architecture,,,,2.53%,04
"Area, ethnic, and gender studies",,,,0.97%,05
Communication/journalism,,,,2.26%,09
Communication technologies,,,,,10
Computer and information sciences,,,,17.02%,11
Personal and culinary services,,,,,12
Education,,,,,13
Engineering,,,,13.10%,14
Engineering technologies,,,,,15
"Foreign languages, literatures, and linguistics",,,,0.90%,16
Family and consumer sciences,,,,2.26%,19
Law/legal studies,,,,,22
English,,,,1.00%,23
Liberal arts/general studies,,,,0.42%,24
Library science,,,,,25
Biological/life sciences,,,,12.81%,26
Mathematics and statistics,,,,1.61%,27
Military science and military technologies,,,,,28 & 29
Interdisciplinary studies,,,,1.18%,30
Parks and recreation,,,,,31
Philosophy and religious studies,,,,0.47%,38
Theology and religious vocations,,,,,39
Physical sciences,,,,2.71%,40
Science technologies,,,,,41
Psychology,,,,1.55%,42
"Homeland Security, law enforcement, firefighting,",,,,,43
Public administration and social services,,,,1.76%,44
Social sciences,,,,8.13%,45
Construction trades,,,,,46
Mechanic and repair technologies,,,,,47
Precision production,,,,,48
Transportation and materials moving,,,,,49
Visual and performing arts,,,,1.45%,50
Health professions and related programs,,,,0.68%,51
Business/marketing,,,,13.42%,52
History,,,,0.84%,54
Other,,,,,
