,Category,Diploma/Certificates,Associate,Bachelorâ€™s,CIP 2020 Categories to Include
Agriculture,,,,,01
Natural resources and conservation,,,,,03
Architecture,,,,1%,04
"Area, ethnic, and gender studies",,,,2%,05
Communication/journalism,,,,,09
Communication technologies,,,,,10
Computer and information sciences,,,,14%,11
Personal and culinary services,,,,,12
Education,,,,,13
Engineering,,,,18%,14
Engineering technologies,,,,,15
"Foreign languages, literatures, and linguistics",,,,3%,16
Family and consumer sciences,,,,,19
Law/legal studies,,,,,22
English,,,,3%,23
Liberal arts/general studies,,,,,24
Library science,,,,,25
Biological/life sciences,,,,10%,26
Mathematics and statistics,,,,3%,27
Military science and military technologies,,,,,28 & 29
Interdisciplinary studies,,,,<1%,30
Parks and recreation,,,,,31
Philosophy and religious studies,,,,2%,38
Theology and religious vocations,,,,,39
Physical sciences,,,,6%,40
Science technologies,,,,,41
Psychology,,,,3%,42
"Homeland Security, law enforcement, firefighting,",,,,,43
Pub lic adminis tration and social services,,,,10%,44
Social sciences,,,,20%,45
Construction trades,,,,,46
Mechanic and repair technologies,,,,,47
Precision production,,,,,48
Transportation and materials moving,,,,,49
Visual and performing arts,,,,2%,50
Health professions and related programs,,,,,51
Business/marketing,,,,,52
History,,,,5%,54
Other,,,,,
